Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
2009,North Macedonia,,4.111,,,,,,78.762,,,1394,,,,172,,,,3.776,,7813,,,,,1629,,,,8.332,,,,,,,,,,,0.674
2010,North Macedonia,,4.092,2034,1559,,,18679,112.907,9.02,0.982,1362,,,,242,67329,,0.753,3.726,,7715,,526151,,,2338,6.264,129701,,11.725,,,-0.716,,15419,7.446,-7399,,32.515,25.409,0.658
2011,North Macedonia,,3.967,,,,,,166.92,,,1224,,,,442,,0,,3.154,,6536,,,0,0.028,3459,,,576,21.327,,,,,,,,,,,0.591
2012,North Macedonia,,3.801,,,,,,233.498,,,1092,,,,737,,0,,2.556,,5302,,,0,0.024,4843,,,492,35.569,,,,,,,,,,,0.527
2013,North Macedonia,,3.586,,,,,,346.656,,,952,,,,711,,0,,1.965,,4080,,,0,0.019,7196,,,403,34.247,,,,,,,,,,,0.459
2014,North Macedonia,,3.304,,,,,,392.496,,,853,,,,637,,,,1.391,,2891,,,,0.015,8155,,,304,30.667,,,,,,,,,,,0.411
2015,North Macedonia,,3.051,1029,718,,,20217,386.374,9.723,0.495,721,,,,538,37203,,0.345,0.82,,1705,,563354,,0.01,8034,6.287,130730,208,25.912,,,-0.853,,16311,7.844,-8853,,17.892,27.093,0.347
2016,North Macedonia,,2.899,,,,,,352.922,,,607,,,,321,,,,0.829,,1725,,,,0.008,7343,,,170,15.456,,,,,,,,,,,0.292
2017,North Macedonia,,2.757,,,,,,302.229,,,502,,,,27,,,,0.832,,1731,,,,0.007,6292,,,153,1.306,,,,,,,,,,,0.241
2018,North Macedonia,,2.821,,,,,,178.285,,,423,,,,28,,,,0.813,,1692,,,,0.007,3713,,,142,1.363,,,,9.871,,,,,,,0.203
2019,North Macedonia,,,,,,,,122.373,,,356,,,,28,,,,0.793,,1653,,,,,2549,,,,1.382,,,,,,,,,,,0.171
2020,North Macedonia,,,581,433,19000,,20672,,9.922,0.279,,,,,,130542,,0.208,,9.12,,,693896,,,,6.303,131311,,,,,-0.48,,16220,7.785,-4999,,62.659,33.306,
1955,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.627,,,,-423110,,,,
1960,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.321,,,,-391380,,,,
1965,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.939,,,,-656945,,,,
1970,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.24,,,,-867140,,,,
1975,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.071,,,,-1351140,,,,
1980,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.805,,,,-903700,,,,
1985,Northern Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.637,,,,-365449,,,,
1990,Northern Africa,,,,1202485,,,979676,,,,,,,,,,,,,,,,5286657,,,,,2403325,,,,,-0.793,,754206,,-520481,,,,
1995,Northern Africa,,,-321685,876194,,,788153,,,,,,,,,565764,,,,,,,5852421,,,,,2081640,,,,,-0.342,,604587,,-253594,,,,
2000,Northern Africa,,,-181192,617699,,,653109,,,,,,,,,589568,,,,,,,6441989,,,,,1900448,,,,,-1.924,,488971,,-1577194,,,,
2005,Northern Africa,,,-150730,360580,,,539867,,,,,,,,,1524432,,,,,,,7966421,,,,,1749718,,,,,-1.737,,394780,,-1553532,,,,
2010,Northern Africa,,,202322,400462,,,568683,,,,,,,,,1284707,,,,,,,9251128,,,,,1952040,,,,,-2.407,,411270,,-2342645,,,,
2015,Northern Africa,,,186878,716678,,,581166,,,,,,,,,1663620,,,,,,,10914748,,,,,2138918,,,,,-1.665,,418515,,-1776605,,,,
2020,Northern Africa,,,1029008,1554523,,,1021751,,,,,,,,,1367877,,,,,,,12282625,,,,,3167926,,,,,-0.638,,761196,,-749350,,,,
1955,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-160184,,,,
1960,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.131,,,,-79490,,,,
1965,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.448,,,,-310578,,,,
1970,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.015,,,,-803434,,,,
1975,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.179,,,,-1064135,,,,
1980,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.494,,,,-509176,,,,
1985,Northern Africa and Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572,,,,677640,,,,
1990,Northern Africa and Western Asia,,,,3769356,,,4964356,,,,,,,,,,,,,,,,16365218,,,,,17608769,,,,,-0.352,,3911865,,-476782,,,,
1995,Northern Africa and Western Asia,,,1303295,4649756,,,4996688,,,,,,,,,1704219,,,,,,,18069437,,,,,18912064,,,,,-0.103,,3932511,,-157693,,,,
2000,Northern Africa and Western Asia,,,1409333,4913157,,,4985709,,,,,,,,,1367617,,,,,,,19437054,,,,,20321397,,,,,-1.449,,3899552,,-2459648,,,,
2005,Northern Africa and Western Asia,,,2844407,5384189,,,5298462,,,,,,,,,2430737,,,,,,,21867791,,,,,23165804,,,,,0.081,,4083274,,150947,,,,
2010,Northern Africa and Western Asia,,,9472630,6935618,,,6879776,,,,,,,,,3445920,,,,,,,25313711,,,,,32638434,,,,,1.939,,5317183,,4010244,,,,
2015,Northern Africa and Western Asia,,,9397658,11062202,,,8964054,,,,,,,,,7292336,,,,,,,32606047,,,,,42036092,,,,,0.851,,7094551,,1950200,,,,
2020,Northern Africa and Western Asia,,,7731654,13481636,,,10825088,,,,,,,,,4957773,,,,,,,37563820,,,,,49767746,,,,,0.089,,8365995,,225210,,,,
1955,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,1421903,,,,
1955,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,1421903,,,,
1955,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,1421903,,,,
1955,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,1421903,,,,
1960,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.743,,,,2688711,,,,
1960,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.743,,,,2688711,,,,
1960,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.743,,,,2688711,,,,
1960,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.743,,,,2688711,,,,
1965,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899,,,,2013491,,,,
1965,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899,,,,2013491,,,,
1965,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899,,,,2013491,,,,
1965,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899,,,,2013491,,,,
1970,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,,,,2168760,,,,
1970,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,,,,2168760,,,,
1970,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,,,,2168760,,,,
1970,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,,,,2168760,,,,
1975,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,3647269,,,,
1975,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,3647269,,,,
1975,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,3647269,,,,
1975,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.083,,,,3647269,,,,
1980,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.376,,,,4188825,,,,
1980,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.376,,,,4188825,,,,
1980,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.376,,,,4188825,,,,
1980,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.376,,,,4188825,,,,
1985,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887,,,,3755775,,,,
1985,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887,,,,3755775,,,,
1985,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887,,,,3755775,,,,
1985,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887,,,,3755775,,,,
1990,Northern America,,,,610144,,,3561049,,,,,,,,,,,,,,,,2802135,,,,,27610408,,,,,3.094,,2011036,,4224943,,,,
1990,Northern America,,,,610144,,,3561049,,,,,,,,,,,,,,,,2802135,,,,,27610408,,,,,3.094,,2011036,,4224943,,,,
1990,Northern America,,,,610144,,,3561049,,,,,,,,,,,,,,,,2802135,,,,,27610408,,,,,3.094,,2011036,,4224943,,,,
1990,Northern America,,,,610144,,,3561049,,,,,,,,,,,,,,,,2802135,,,,,27610408,,,,,3.094,,2011036,,4224943,,,,
1995,Northern America,,,5730540,775419,,,3978377,,,,,,,,,144026,,,,,,,2946161,,,,,33340948,,,,,3.588,,2251749,,5150449,,,,
1995,Northern America,,,5730540,775419,,,3978377,,,,,,,,,144026,,,,,,,2946161,,,,,33340948,,,,,3.588,,2251749,,5150449,,,,
1995,Northern America,,,5730540,775419,,,3978377,,,,,,,,,144026,,,,,,,2946161,,,,,33340948,,,,,3.588,,2251749,,5150449,,,,
1995,Northern America,,,5730540,775419,,,3978377,,,,,,,,,144026,,,,,,,2946161,,,,,33340948,,,,,3.588,,2251749,,5150449,,,,
2000,Northern America,,,7010762,1019706,,,5098351,,,,,,,,,203758,,,,,,,3149919,,,,,40351710,,,,,6.354,,2913124,,9640774,,,,
2000,Northern America,,,7010762,1019706,,,5098351,,,,,,,,,203758,,,,,,,3149919,,,,,40351710,,,,,6.354,,2913124,,9640774,,,,
2000,Northern America,,,7010762,1019706,,,5098351,,,,,,,,,203758,,,,,,,3149919,,,,,40351710,,,,,6.354,,2913124,,9640774,,,,
2000,Northern America,,,7010762,1019706,,,5098351,,,,,,,,,203758,,,,,,,3149919,,,,,40351710,,,,,6.354,,2913124,,9640774,,,,
2005,Northern America,,,5011379,716806,,,6035380,,,,,,,,,362187,,,,,,,3512106,,,,,45363089,,,,,3.992,,3429061,,6385103,,,,
2005,Northern America,,,5011379,716806,,,6035380,,,,,,,,,362187,,,,,,,3512106,,,,,45363089,,,,,3.992,,3429061,,6385103,,,,
2005,Northern America,,,5011379,716806,,,6035380,,,,,,,,,362187,,,,,,,3512106,,,,,45363089,,,,,3.992,,3429061,,6385103,,,,
2005,Northern America,,,5011379,716806,,,6035380,,,,,,,,,362187,,,,,,,3512106,,,,,45363089,,,,,3.992,,3429061,,6385103,,,,
2010,Northern America,,,5607435,487428,,,6047221,,,,,,,,,457697,,,,,,,3969803,,,,,50970524,,,,,4.027,,3445886,,6751124,,,,
2010,Northern America,,,5607435,487428,,,6047221,,,,,,,,,457697,,,,,,,3969803,,,,,50970524,,,,,4.027,,3445886,,6751124,,,,
2010,Northern America,,,5607435,487428,,,6047221,,,,,,,,,457697,,,,,,,3969803,,,,,50970524,,,,,4.027,,3445886,,6751124,,,,
2010,Northern America,,,5607435,487428,,,6047221,,,,,,,,,457697,,,,,,,3969803,,,,,50970524,,,,,4.027,,3445886,,6751124,,,,
2015,Northern America,,,4663217,714900,,,4629853,,,,,,,,,44846,,,,,,,4014649,,,,,55633741,,,,,3.541,,2530976,,6198719,,,,
2015,Northern America,,,4663217,714900,,,4629853,,,,,,,,,44846,,,,,,,4014649,,,,,55633741,,,,,3.541,,2530976,,6198719,,,,
2015,Northern America,,,4663217,714900,,,4629853,,,,,,,,,44846,,,,,,,4014649,,,,,55633741,,,,,3.541,,2530976,,6198719,,,,
2015,Northern America,,,4663217,714900,,,4629853,,,,,,,,,44846,,,,,,,4014649,,,,,55633741,,,,,3.541,,2530976,,6198719,,,,
2020,Northern America,,,3075054,1388084,,,4983349,,,,,,,,,313309,,,,,,,4327958,,,,,58708795,,,,,3.296,,2759982,,5982000,,,,
2020,Northern America,,,3075054,1388084,,,4983349,,,,,,,,,313309,,,,,,,4327958,,,,,58708795,,,,,3.296,,2759982,,5982000,,,,
2020,Northern America,,,3075054,1388084,,,4983349,,,,,,,,,313309,,,,,,,4327958,,,,,58708795,,,,,3.296,,2759982,,5982000,,,,
2020,Northern America,,,3075054,1388084,,,4983349,,,,,,,,,313309,,,,,,,4327958,,,,,58708795,,,,,3.296,,2759982,,5982000,,,,
1955,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.521,,,,-598684,,,,
1960,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.229,,,,-92412,,,,
1965,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,,,203611,,,,
1970,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,,,,61051,,,,
1975,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837,,,,368441,,,,
1980,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658,,,,294100,,,,
1985,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,,39477,,,,
1990,Northern Europe,,,,207043,,,840484,,,,,,,,,,,,,,,,6227251,,,,,6645605,,,,,0.667,,532795,,304484,,,,
1995,Northern Europe,,,549219,396827,,,866973,,,,,,,,,-25004,,,,,,,6202247,,,,,7194824,,,,,0.38,,533710,,176013,,,,
2000,Northern Europe,,,706149,499978,,,967461,,,,,,,,,220293,,,,,,,6422540,,,,,7900973,,,,,1.446,,605889,,678131,,,,
2005,Northern Europe,,,1687841,516495,,,1081947,,,,,,,,,357554,,,,,,,6780094,,,,,9588814,,,,,2.723,,640801,,1298372,,,,
2010,Northern Europe,,,1706123,454535,,,1365879,,,,,,,,,398686,,,,,,,7178780,,,,,11294937,,,,,5.544,,876601,,2726465,,,,
2015,Northern Europe,,,1896149,651887,,,1604315,,,,,,,,,136367,,,,,,,7315147,,,,,13191086,,,,,3.161,,1046561,,1611447,,,,
2020,Northern Europe,,,1782775,623507,,,1848511,,,,,,,,,569633,,,,,,,7884780,,,,,14973861,,,,,3.241,,1192923,,1699590,,,,
1990,Northern Mariana Islands,,,,,,,3500,,,,,,,,,,,,,,,,2517,,,,,26593,,,,,,,2327,,,,,,
1995,Northern Mariana Islands,,,5783,,,,4755,,,,,,,,,130,,,,,,,2647,,,,,32376,,,,,,,3233,,,,,,
2000,Northern Mariana Islands,,,7746,,,,6548,,,,,,,,,118,,,,,,,2765,,,,,40122,,,,,,,4537,,,,,,
2005,Northern Mariana Islands,,,-2580,,,,6166,,,,,,,,,-40,,,,,,,2725,,,,,37542,,,,,,,4441,,,,,,
2010,Northern Mariana Islands,,,-13374,,,,2601,,,,,,,,,-114,,,,,,,2611,,,,,24168,,,,,,,1639,,,,,,
2015,Northern Mariana Islands,,,-2520,,,,2183,,,,,,,,,-4,,,,,,,2607,,,,,21648,,,,,,,1465,,,,,,
2019,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
2020,Northern Mariana Islands,,,195,,2000,,2492,,,,,,,,,134,,,,,,,2741,,,,,21843,,,,,,,1667,,,,,,
1953,Norway,,,,,,,,,,,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719
1954,Norway,,,,,,,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
1955,Norway,,,,,,,,,,,2660,,,,,,,,,,,,,,,,,,,,,,-0.237,,,,-3962,,,,0.775
1956,Norway,,,,,,,,,,,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.815
1957,Norway,,,,,,,,,,,2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.853
1958,Norway,,,,,,,,,,,3120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886
1959,Norway,,,,,,,,,,,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889
1960,Norway,,,,,,,,,,,3080,,,,,,,,,,,,,,,,,,,,,,-0.538,,,,-9438,,,,0.86
1961,Norway,,,,,,,,,,,3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836
1962,Norway,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769
1963,Norway,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764
1965,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.124,,,,-2274,,,,
1970,Norway,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,0.22,,,,4178,,,,0.722
1971,Norway,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717
1972,Norway,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712
1973,Norway,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757
1974,Norway,,,,,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652
1975,Norway,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,0.805,,,,15870,,,,0.798
1976,Norway,,,,,,,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944
1977,Norway,,0.098,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.088
1978,Norway,,0.125,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.232
1979,Norway,,0.159,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.473
1980,Norway,,0.162,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,1.024,,,,20728,,,,1.468
1981,Norway,,0.165,,,,,,,,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.659
1982,Norway,,0.17,,,,,,,,,7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848
1983,Norway,,0.171,,,,,,,,,8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.124
1984,Norway,,0.16,,,,,,,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.465
1985,Norway,19.104,0.154,,,,,,,,,12000,793,,,,,,,,,,,,,,,,,,,,,1.204,,,,24805,,,,2.889
1986,Norway,18.526,0.149,,,,,,,,,12190,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.924
1987,Norway,20.392,0.143,,,,,,,,,13890,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.318
1988,Norway,21.251,0.138,,,,,,,,,15446,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.673
1989,Norway,22.564,0.138,,,,,,,,,18617,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.405
1990,Norway,28.263,0.138,,19581,,,34684,,8.166,,21586,1200,,,,,,4.61,,,,,138289,,,,4.534,192587,,,,,1.843,,23992,5.649,38715,,,3.256,5.082
1991,Norway,31.409,0.139,,,,,,,,,27071,1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.341
1992,Norway,29.459,0.138,,,,,,,,,32294,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.523
1993,Norway,32.154,0.143,,,,,,,,,37899,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
1994,Norway,30.339,0.153,,,,,,,,,41770,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.621
1995,Norway,26.97,0.159,40715,47607,,,42386,,9.706,9.323,45276,1177,,,,12752,,10.902,,,,,151041,,,,5.342,233302,,,,,2.178,,28416,6.507,46903,,2.92,3.459,10.368
1996,Norway,25.143,0.171,,,,,,,,,46666,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.622
1997,Norway,28.528,0.179,,,,,,,,,46430,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.504
1998,Norway,27.849,0.18,,,,,,,,,46449,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.444
1999,Norway,29.808,0.174,,,,,,,,,46792,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.459
2000,Norway,29.088,0.172,59138,47693,,,53439,,11.877,13.144,47401,1308,,,,12793,,10.6,,,,,163834,,,,6.5,292440,,,,,2.652,,35087,7.798,58773,,2.843,3.641,10.535
2001,Norway,31.244,0.167,,,,,,,,,47558,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.514
2002,Norway,28.275,0.167,,,,,,,,,47676,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.487
2003,Norway,24.919,0.168,,,,,,,,,46739,1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.227
2004,Norway,23.535,0.167,,,,,,,,,45377,1082,,,,,,,0.001,,6,,,,,,,,,,,,,,,,,,,,9.869
2005,Norway,22.874,0.163,68704,43034,,,60419,,13.043,14.831,42193,1059,,,,10229,,9.29,0.001,,6,,174063,,,,7.796,361144,,,,,2.952,,39965,8.627,67400,,2.208,3.758,9.108
2006,Norway,18.827,0.159,,,,,,,,,40187,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2007,Norway,20.952,0.156,,,,,,,,,38942,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.252
2008,Norway,22.171,0.155,,,,,,,,,38388,1057,,,11444,,,,,,,,,,,,,,,239.874,,,,,,,,,,,8.046
2009,Norway,23.096,0.156,,,,,,0.104,,,37859,1114,,,12082,,,,,,,,,,,5,,,,250.317,,,,,,,,,,,7.844
2010,Norway,23.312,0.155,163457,52733,,,83276,,17.044,33.455,39520,1139,,,12617,5908,,10.793,,,,,179971,,,,10.737,524601,,258.246,,,6.868,,55345,11.328,163433,,1.209,3.683,8.089
2011,Norway,23.871,0.155,,,,,,0.101,,,41523,1181,,,11161,,,,0.002,,8,,,,,5,,,,225.555,,,,,,,,,,,8.391
2012,Norway,23.16,0.153,,,,,,0.1,,,43366,1161,,,9266,,,,0.002,,10,,,,,5,,,,184.825,,,,,,,,,,,8.65
2013,Norway,27.956,0.153,,,,,,0.138,,,45393,1420,,,11832,,,,0.002,,10,,,,,7,,,,232.954,,,,,,,,10.231,,,8.937
2014,Norway,35.517,0.155,,,,,,,,,49161,1826,,,11111,,,,0.002,,11,,,,,,,,,216.072,,,,,,,,9.256,,,9.56
2015,Norway,41.259,0.155,221774,75705,,,107660,0.212,20.705,42.65,52446,2145,,275,9838,5607,,14.559,0.003,,13,,185578,,,11,14.354,746375,,189.199,,0.005,8.797,,72002,13.847,221814,8.278,1.078,3.569,10.086
2016,Norway,46.727,0.155,,,,,,0.232,,,54629,2453,,399,9025,,,,0.002,,11,,,,,12,,,,171.874,,0.008,,,,,,7.413,,,10.404
2017,Norway,52.074,0.155,,,,,,0.253,,,56001,2758,,467,7903,,,,0.002,,9,,,,,13,,,,149.224,,0.009,,,,,,7.13,,,10.574
2018,Norway,48.453,0.156,,,,,,0.288,,,55856,2586,,,3065,,,,0.001,,8,,,,,15,,,,57.423,,,,,,,,6.191,,,10.464
2019,Norway,39.834,,,,,,,0.338,,,53495,2142,,,1738,,,,0.001,,7,,,,,18,,,,32.327,,,,,,,,,,,9.946
2020,Norway,,,105863,55426,97000,,114926,,21.199,19.527,,,0.002,,,5814,,10.224,,17.893,,84,191392,,,,15.72,852238,,,,,5.273,,72781,13.425,140000,,1.072,3.53,
1979,OECD members,,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,OECD members,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,OECD members,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,OECD members,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,OECD members,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,OECD members,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,OECD members,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,OECD members,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,OECD members,,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,OECD members,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,OECD members,,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,OECD members,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,OECD members,,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,OECD members,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,OECD members,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,OECD members,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,OECD members,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,OECD members,,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,OECD members,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,OECD members,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,OECD members,,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,OECD members,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,OECD members,,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,OECD members,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,OECD members,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,OECD members,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,OECD members,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
